Accident ID ,Type,Date,Speed,P Minor Injuries,P Serious Injuries,P Death Injuries,P Moderate Injuries,Road Lane,Road Surface, Vehicle Nationality,Class of License,Road Type,Lighting,Weather,Road Characteristics,Driver Fault,Governorate,Vehicle Category,Date of Accident,Number of Vehicles,Age of Driver, Gender
1987501,صدم,3/13/2019 13:30,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/13/2019 13:30,2,25,ذكر
1987977,صدم,3/14/2019 13:25,50,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,مبتل,الأردن,فئة ثالثة,إسفلتي,نهار,مطر,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/14/2019 13:25,2,42,انثى
1987977,صدم,3/14/2019 13:25,50,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,مبتل,الأردن,فئة ثالثة,إسفلتي,نهار,مطر,مستقيم مستوي,عدم ترك السائق مسافة التتابع الأمن,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/14/2019 13:25,2,43,ذكر
1987993,صدم,3/14/2019 13:38,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,مبتل,الأردن,فئة ثالثة,إسفلتي,نهار,مطر,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/14/2019 13:38,2,36,ذكر
1987993,صدم,3/14/2019 13:38,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,مبتل,الأردن,فئة ثالثة اتوماتيك,إسفلتي,نهار,مطر,مستقيم مستوي,تغير سائق المركبة المسرب بشكل مفاجئ,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/14/2019 13:38,2,18,انثى
1989082,صدم,3/17/2019 8:25,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,مبتل,الأردن,فئة ثالثة اتوماتيك,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/17/2019 8:25,2,22,ذكر
1989082,صدم,3/17/2019 8:25,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,مبتل,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/17/2019 8:25,2,34,انثى
1990881,صدم,3/18/2019 19:42,30,0,0,0,0,اتجاهين غير مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/18/2019 19:42,2,29,ذكر
1990881,صدم,3/18/2019 19:42,30,0,0,0,0,اتجاهين غير مفصول بجزيرة وسطية,جاف,الأردن,0,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,0,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/18/2019 19:42,2,,
1990892,صدم,3/18/2019 20:14,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/18/2019 20:14,2,35,ذكر
1990892,صدم,3/18/2019 20:14,40,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة رابعة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/18/2019 20:14,2,56,ذكر
1995205,صدم,3/21/2019 20:16,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,تغير مسرب بشكل مفاجئ,محافظة العاصمة عمان,نقل مشترك,3/21/2019 20:16,2,37,ذكر
1995205,صدم,3/21/2019 20:16,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل وطريق بإضاءة كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/21/2019 20:16,2,28,ذكر
1995834,صدم,3/23/2019 18:59,70,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,ليل واضاءة غير كافية,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/23/2019 18:59,2,27,ذكر
1995834,صدم,3/23/2019 18:59,70,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة رابعة,إسفلتي,ليل واضاءة غير كافية,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,شحن,3/23/2019 18:59,2,41,ذكر
1996118,صدم,3/24/2019 14:32,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة رابعة,إسفلتي,نهار,صافي,مستقيم مستوي,لا يوجد,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/24/2019 14:32,2,33,ذكر
1996118,صدم,3/24/2019 14:32,60,0,0,0,0,اتجاهين مفصول بجزيرة وسطية,جاف,الأردن,فئة ثالثة,إسفلتي,نهار,صافي,مستقيم مستوي,عدم ترك السائق مسافة التتابع الامن,محافظة العاصمة عمان,سيارة ركوب صغيرة,3/24/2019 14:32,2,27,ذكر
